Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,3,26.974458866734665,104.93428381088421
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,3,23.779737029537102,268.1776818812196
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,3,22.616044678226615,286.85165317657635
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,3,25.773095354469888,164.22475250366375
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,3,21.777534513576086,124.82871981266186
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,3,18.79727577701692,158.8009980500047
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,3,28.217391914449763,109.93792982700512
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,3,22.793668796170152,45.51846655014202
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,3,24.14285289395241,67.29760141971752
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,3,25.02313473199007,123.46486123207256
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,3,22.785515024328788,111.74775035980389
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,3,20.063528192171532,189.9911549866502
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,3,23.41589924391883,331.2748906195466
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,3,27.124723483670152,140.52721233966992
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,3,26.458831241566656,369.10521360042736
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,4,23.0998261769613,92.35549155653189
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,4,26.584163199530735,165.03530923307608
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,4,23.729443147447398,99.53791085661123
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,4,26.31910786098905,394.5245463031597
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,4,25.885085508558518,434.99918464601706
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,4,26.25832498338491,166.58105138719748
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,4,27.511753802829332,194.97744921625326
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,4,25.05770106845432,77.77927998483847
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,4,25.39095573425294,113.56969360292624
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,4,25.18048481411404,72.29104820669363
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,4,24.832939783732115,120.24349156797598
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,4,22.98409809536406,38.555817641622525
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,4,19.844661246405735,147.30830673158835
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,4,23.047477001614084,178.86881712854574
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,4,19.212768342759887,80.77468160570334
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,4,16.492043516370984,89.34554640234182
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,4,26.21212272644044,9.065018929845792
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,4,18.792146597968213,120.06670419157217
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,4,19.51717915005156,67.47105900228689
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,4,22.241373485989072,154.9887079376049
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,4,20.055948681301572,149.0762699025936
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,4,17.3342011769613,156.74686614454458
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,4,20.522810660468224,167.0280713218517
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,4,26.066403325398767,55.22220019281576
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,4,26.76935471428766,110.69905940473745
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,5,23.232220627159222,1.5945173233617993
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,5,28.46235860598989,11.480826827870771
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,5,24.69577541966595,13.102222177373335
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,5,26.934006791473735,249.95024869142668
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,5,26.34363800787156,162.09255525766508
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,5,26.494199268792272,19.75584397016661
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,5,28.680691204276172,26.666480991231367
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,5,26.60962528105705,13.57309887109892
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,5,24.728786907401172,71.29003474413054
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,5,26.260441183274793,4.778910371648237
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,5,24.62961068512294,41.25491151510374
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,5,22.786855623799,22.54480490385191
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,5,18.019442884383693,56.03029200731413
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,5,21.165520358342008,40.826011392461226
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,5,17.274422828100057,40.99589953123228
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,5,14.749496857837983,32.765496465550825
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,5,21.94060383868475,52.05549666582243
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,5,15.390176986366214,104.19719288049833
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,5,15.762559693859487,156.3627458542456
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,5,17.76660507776404,197.88541266618864
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,5,16.653176818355462,92.23521122633116
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,5,14.597951158913247,88.81034323869841
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,5,18.305381434450908,130.2871442764868
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,5,24.34023316496166,10.29338309465544
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,5,25.92315697208528,101.79929802118437
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,6,22.282383388943174,2.1810140982196913
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,6,27.492029656304283,1.0898616686390028
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,6,23.118413119845968,0.29898253827553845
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,6,26.602153354220945,109.96963647752267
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,6,26.076209343804294,103.5429593697117
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,6,23.944148254394577,40.67765740304452
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,6,27.75543297661676,44.24761799722177
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,6,23.606534322102902,29.829731263212977
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,6,23.311609734429283,177.84998384862405
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,6,24.503469000922337,0.2203938141391859
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,6,22.670499165852902,65.27272430806619
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,6,19.95592125786675,1.7519500628040419
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,6,15.84417809380426,37.36736444383126
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,6,18.66099938286675,43.31440297513467
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,6,15.452120802137586,14.344712771467982
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,6,13.230622863769554,27.183985389761744
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,6,23.83824818929037,3.978258050970851
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,6,13.860451422797325,182.26442304997903
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,6,14.400737338595945,55.22966948895913
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,6,18.18348473442927,40.59760836511117
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,6,16.00617624918624,35.55623260884744
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,6,13.296649339464011,83.24446348100167
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,6,16.16650068495011,96.71144751458627
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,6,25.132253180609837,2.0080861225650892
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,6,26.677337816026522,26.66001585870248
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,7,23.039945056874274,0.03224207218721631
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,7,26.936555439938786,0.2507974034173799
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,7,22.802923887519455,1.732166541181357
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,7,26.455199383151182,122.37347258385256
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,7,26.091852503950918,94.85576642807558
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,7,23.764160656672686,11.32492317017153
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,7,27.960355213124274,8.220370543561728
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,7,23.807565184562463,2.222980988584311
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,7,22.4132439480033,103.24211014565066
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,7,24.0101362741122,2.413894665799887
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,7,21.5321089303622,104.09642351921633
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,7,20.56141893120224,0.9034831648691011
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,7,17.277774777976447,42.67561031635836
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,7,20.08872067851405,44.5036549692972
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,7,17.235787840812463,62.771927249990256
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,7,14.431517742526182,42.934607399068625
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,7,21.565603449011405,6.383876932225974
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,7,12.81508104057724,244.64116586502627
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,7,12.828343389367546,233.9166064387186
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,7,17.66906919581919,118.00637437161043
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,7,16.362383942962992,91.38695491608217
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,7,13.85711523076543,129.05683709438875
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,7,16.682331544609497,107.12778164204195
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,7,23.393347799649803,0.8118708258493257
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,7,26.52002790717671,10.626744163594992
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,8,24.00538537630473,0.026675394558139942
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,8,27.298217617568184,0.026675394558139942
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,8,23.364618617232168,0.026675394558139942
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,8,27.19720640285044,55.69119983055515
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,8,27.59727938252115,22.314208081745335
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,8,23.61128465385849,5.860554507755467
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,8,28.019424774826234,0.2832435879938089
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,8,23.860153206445887,0.19075208046359649
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,8,21.748525812292655,83.85984831192417
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,8,24.08751638268916,0.02700322010440459
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,8,21.043450312460664,48.402281931423374
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,8,21.087498006513044,0.17738573887271514
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,8,16.91851069132491,23.486497334026524
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,8,19.76585454633164,25.547983578228184
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,8,16.240931201237515,12.00385623314304
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,8,14.562892306748267,5.760344198726841
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,8,24.4271291179042,0.03800027706546416
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,8,13.449474548011722,56.43287532665653
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,8,14.294072477279201,36.43805020191593
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,8,18.810240887057432,16.699212125324436
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,8,16.563800614879995,25.586711696170994
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,8,13.349833670995565,61.43835418560428
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,8,15.781085771129995,82.1587764535181
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,8,25.706806642265747,0.026675394558139942
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,8,28.062753172843713,10.819064906620213
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,9,27.596822505527086,17.524639732549474
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,9,29.866464975145163,1.2721220323541615
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,9,26.128227127922912,3.4825155803659413
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,9,27.985125456915966,33.68518746585636
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,9,28.947438282436792,27.5762478181818
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,9,25.027882618374292,6.524289614866063
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,9,28.442235374450718,0.1788536378839467
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,9,25.409555795457663,0.29712415427951555
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,9,22.288909636603478,85.00995732040195
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,9,26.475099415249304,0.03112352580814104
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,9,22.595710309346543,38.71084249706058
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,9,23.865694575839598,11.553386814306066
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,9,19.448634571499326,83.75268674583225
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,9,21.704198265075718,88.05648482532291
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,9,19.233603647020175,92.36663079948215
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,9,17.228728972540978,112.27714515418796
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,9,28.230435244242358,22.92754746169834
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,9,16.215648460388195,207.62715733737735
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,9,16.855109723409043,171.52590549678592
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,9,21.837621116638218,237.03692353458194
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,9,20.142167557610435,248.24916816444187
