Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010,3,24.450000000000003,137.0
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,3,22.55,182.0
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010,3,18.8,397.0
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,3,26.200000000000003,303.0
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010,3,27.150000000000002,375.0
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010,3,24.1,121.0
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010,3,24.6,121.0
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010,3,20.25,214.0
CAMPOS DO JORDAO,SP,-22.75027847290039,-45.603889,1662.95,A706,2010,3,15.950000000000001,209.0
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,3,21.700000000000003,187.0
PALMAS,TO,-10.147777557373047,-48.314444,267.0,A009,2010,3,26.1,387.0
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010,4,24.5,124.0
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010,4,24.4,142.0
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010,4,27.85,194.0
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010,4,25.0,147.0
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010,4,24.35,157.0
GOIANIA,GO,-16.642778396606445,-49.220278,727.3,A002,2010,4,24.3,185.0
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,4,22.5,23.0
CORUMBA,MS,-18.996667,-57.63750076293945,111.73,A724,2010,4,26.8,11.0
CUIABA,MT,-15.60694408416748,-56.06083297729492,184.0,A901,2010,4,26.450000000000003,74.0
BELEM,PA,-1.4111109972000122,-48.439444,21.17,A201,2010,4,26.85,466.0
ITAITUBA,PA,-4.276944160461426,-55.993056,24.46,A231,2010,4,27.550000000000004,264.0
CABROBO,PE,-8.503889083862305,-39.315278,342.74,A329,2010,4,26.0,145.0
PALMARES,PE,-8.666666984558105,-35.568056,164.01,A357,2010,4,24.650000000000002,192.0
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,4,22.1,283.0
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010,4,20.85,112.0
