variavel,ano,mes,encontrado,url
pet,1994,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_08_1994_V.2.1.tif
pet,1994,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_09_1994_V.2.1.tif
pet,1994,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_10_1994_V.2.1.tif
pet,1994,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_11_1994_V.2.1.tif
pet,1994,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_12_1994_V.2.1.tif
pet,1995,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_01_1995_V.2.1.tif
pet,1995,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_02_1995_V.2.1.tif
pet,1995,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_03_1995_V.2.1.tif
pet,1995,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_04_1995_V.2.1.tif
pet,1995,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_05_1995_V.2.1.tif
pet,1995,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_06_1995_V.2.1.tif
pet,1995,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_07_1995_V.2.1.tif
pet,1995,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_08_1995_V.2.1.tif
pet,1995,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_09_1995_V.2.1.tif
pet,1995,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_10_1995_V.2.1.tif
pet,1995,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_11_1995_V.2.1.tif
pet,1995,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_12_1995_V.2.1.tif
pet,1996,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_01_1996_V.2.1.tif
pet,1996,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_02_1996_V.2.1.tif
pet,1996,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_03_1996_V.2.1.tif
pet,1996,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_04_1996_V.2.1.tif
pet,1996,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_05_1996_V.2.1.tif
pet,1996,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_06_1996_V.2.1.tif
pet,1996,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_07_1996_V.2.1.tif
pet,1996,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_08_1996_V.2.1.tif
pet,1996,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_09_1996_V.2.1.tif
pet,1996,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_10_1996_V.2.1.tif
pet,1996,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_11_1996_V.2.1.tif
pet,1996,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1996/CHELSA_pet_12_1996_V.2.1.tif
pet,1997,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_01_1997_V.2.1.tif
pet,1997,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_02_1997_V.2.1.tif
pet,1997,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_03_1997_V.2.1.tif
pet,1997,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_04_1997_V.2.1.tif
pet,1997,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_05_1997_V.2.1.tif
pet,1997,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_06_1997_V.2.1.tif
pet,1997,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_07_1997_V.2.1.tif
pet,1997,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_08_1997_V.2.1.tif
pet,1997,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_09_1997_V.2.1.tif
pet,1997,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_10_1997_V.2.1.tif
pet,1997,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_11_1997_V.2.1.tif
pet,1997,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1997/CHELSA_pet_12_1997_V.2.1.tif
pet,1998,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_01_1998_V.2.1.tif
pet,1998,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_02_1998_V.2.1.tif
pet,1998,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_03_1998_V.2.1.tif
pet,1998,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_04_1998_V.2.1.tif
pet,1998,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_05_1998_V.2.1.tif
pet,1998,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_06_1998_V.2.1.tif
pet,1998,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_07_1998_V.2.1.tif
pet,1998,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_08_1998_V.2.1.tif
pet,1998,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_09_1998_V.2.1.tif
pet,1998,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_10_1998_V.2.1.tif
pet,1998,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_11_1998_V.2.1.tif
pet,1998,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1998/CHELSA_pet_12_1998_V.2.1.tif
pet,1999,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_01_1999_V.2.1.tif
pet,1999,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_02_1999_V.2.1.tif
pet,1999,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_03_1999_V.2.1.tif
pet,1999,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_04_1999_V.2.1.tif
pet,1999,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_05_1999_V.2.1.tif
pet,1999,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_06_1999_V.2.1.tif
pet,1999,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_07_1999_V.2.1.tif
pet,1999,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_08_1999_V.2.1.tif
pet,1999,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_09_1999_V.2.1.tif
pet,1999,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_10_1999_V.2.1.tif
pet,1999,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_11_1999_V.2.1.tif
pet,1999,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1999/CHELSA_pet_12_1999_V.2.1.tif
pet,2000,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_01_2000_V.2.1.tif
pet,2000,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_02_2000_V.2.1.tif
pet,2000,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_03_2000_V.2.1.tif
pet,2000,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_04_2000_V.2.1.tif
pet,2000,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_05_2000_V.2.1.tif
pet,2000,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_06_2000_V.2.1.tif
pet,2000,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_07_2000_V.2.1.tif
pet,2000,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_08_2000_V.2.1.tif
pet,2000,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_09_2000_V.2.1.tif
pet,2000,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_10_2000_V.2.1.tif
pet,2000,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_11_2000_V.2.1.tif
pet,2000,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2000/CHELSA_pet_12_2000_V.2.1.tif
pet,2001,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_01_2001_V.2.1.tif
pet,2001,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_02_2001_V.2.1.tif
pet,2001,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_03_2001_V.2.1.tif
pet,2001,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_04_2001_V.2.1.tif
pet,2001,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_05_2001_V.2.1.tif
pet,2001,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_06_2001_V.2.1.tif
pet,2001,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_07_2001_V.2.1.tif
pet,2001,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_08_2001_V.2.1.tif
pet,2001,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_09_2001_V.2.1.tif
pet,2001,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_10_2001_V.2.1.tif
pet,2001,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_11_2001_V.2.1.tif
pet,2001,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2001/CHELSA_pet_12_2001_V.2.1.tif
pet,2002,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_01_2002_V.2.1.tif
pet,2002,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_02_2002_V.2.1.tif
pet,2002,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_03_2002_V.2.1.tif
pet,2002,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_04_2002_V.2.1.tif
pet,2002,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_05_2002_V.2.1.tif
pet,2002,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_06_2002_V.2.1.tif
pet,2002,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_07_2002_V.2.1.tif
pet,2002,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_08_2002_V.2.1.tif
pet,2002,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_09_2002_V.2.1.tif
pet,2002,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_10_2002_V.2.1.tif
pet,2002,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_11_2002_V.2.1.tif
pet,2002,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2002/CHELSA_pet_12_2002_V.2.1.tif
pet,2003,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_01_2003_V.2.1.tif
pet,2003,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_02_2003_V.2.1.tif
pet,2003,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_03_2003_V.2.1.tif
pet,2003,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_04_2003_V.2.1.tif
pet,2003,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_05_2003_V.2.1.tif
pet,2003,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_06_2003_V.2.1.tif
pet,2003,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_07_2003_V.2.1.tif
pet,2003,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_08_2003_V.2.1.tif
pet,2003,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_09_2003_V.2.1.tif
pet,2003,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_10_2003_V.2.1.tif
pet,2003,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_11_2003_V.2.1.tif
pet,2003,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2003/CHELSA_pet_12_2003_V.2.1.tif
pet,2004,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_01_2004_V.2.1.tif
pet,2004,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_02_2004_V.2.1.tif
pet,2004,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_03_2004_V.2.1.tif
pet,2004,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_04_2004_V.2.1.tif
pet,2004,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_05_2004_V.2.1.tif
pet,2004,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_06_2004_V.2.1.tif
pet,2004,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_07_2004_V.2.1.tif
pet,2004,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_08_2004_V.2.1.tif
pet,2004,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_09_2004_V.2.1.tif
pet,2004,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_10_2004_V.2.1.tif
pet,2004,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_11_2004_V.2.1.tif
pet,2004,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2004/CHELSA_pet_12_2004_V.2.1.tif
pet,2005,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_01_2005_V.2.1.tif
pet,2005,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_02_2005_V.2.1.tif
pet,2005,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_03_2005_V.2.1.tif
pet,2005,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_04_2005_V.2.1.tif
pet,2005,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_05_2005_V.2.1.tif
pet,2005,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_06_2005_V.2.1.tif
pet,2005,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_07_2005_V.2.1.tif
pet,2005,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_08_2005_V.2.1.tif
pet,2005,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_09_2005_V.2.1.tif
pet,2005,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_10_2005_V.2.1.tif
pet,2005,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_11_2005_V.2.1.tif
pet,2005,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2005/CHELSA_pet_12_2005_V.2.1.tif
pet,2006,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/2006/CHELSA_pet_01_2006_V.2.1.tif
