resposta,cenario,rep,r2,rmse
log_soc,A,0,0.17056412673294685,0.6273141616304815
log_soc,B,0,0.17535740353721097,0.6254989235332155
log_soc,C,0,0.17107489994699665,0.6271209793576581
log_soc,D,0,0.1849826278968144,0.6218377988283456
log_soc,E,0,0.2033746272360556,0.6147814456297221
log_soc,F1,0,0.18443465306974827,0.6220468092220763
log_soc,F2,0,0.16455725616688766,0.6295816046369531
log_soc,F3,0,0.1854217123634886,0.6216702710479685
log_soc,F4,0,0.15744885175413392,0.6322543439447892
log_soc,A,1,0.17685165366993005,0.6249319654145119
log_soc,B,1,0.18521288005384928,0.6217499543152616
log_soc,C,1,0.1846249814180706,0.6219742215070778
log_soc,D,1,0.19625448194004425,0.6175227565466039
log_soc,E,1,0.19485909385423283,0.6180585668300322
log_soc,F1,1,0.19509702070229584,0.6179672389698532
log_soc,F2,1,0.17521938557739947,0.6255512652833027
log_soc,F3,1,0.1895980549572981,0.620074571501574
log_soc,F4,1,0.16797145488410148,0.6282938339752975
log_soc,A,2,0.17336100283809952,0.626255609899883
log_soc,B,2,0.1810281917993316,0.6233445411196342
log_soc,C,2,0.17297557941153896,0.6264015898591696
log_soc,D,2,0.18648387865922278,0.6212648265290176
log_soc,E,2,0.19958751788568008,0.6162410300935472
log_soc,F1,2,0.19693038055134615,0.6172630533512575
log_soc,F2,2,0.16804416047744086,0.6282663821082715
log_soc,F3,2,0.17898735648259867,0.624120729016615
log_soc,F4,2,0.16493632088859078,0.6294387586702379
argila,A,0,0.34490708254578784,16.24142100232745
argila,B,0,0.34621197670337533,16.22523711512205
argila,C,0,0.34197472522751604,16.277730716096546
argila,D,0,0.3420341726869017,16.276995416383084
argila,E,0,0.34013340401413694,16.300489410652418
argila,F1,0,0.3436938446540606,16.25645367324025
argila,F2,0,0.3044141618178138,16.735856281745914
argila,F3,0,0.3304751742944614,16.41934826351542
argila,F4,0,0.2852862939034809,16.964404817139314
areia,A,0,0.3579171707001563,20.86048063404403
areia,B,0,0.35016102147566996,20.986096293547526
areia,C,0,0.348321630908367,21.01577622322159
areia,D,0,0.35100803733697017,20.972414940885027
areia,E,0,0.36747147211721864,20.704695188310108
areia,F1,0,0.3626834657072733,20.782910883970928
areia,F2,0,0.3271422044625424,21.354550128669196
areia,F3,0,0.3537549887734457,20.92798350037221
areia,F4,0,0.3074189380071016,21.66526913930958
silte,A,0,0.35106909229483163,11.598756632460342
silte,B,0,0.34135585403223756,11.685239669610356
silte,C,0,0.34505427794603527,11.652385958620266
silte,D,0,0.349216980606166,11.615296826684514
silte,E,0,0.3704727428418976,11.424033704586131
silte,F1,0,0.3713036438647984,11.416492033110718
silte,F2,0,0.3508743616328821,11.600496774679797
silte,F3,0,0.36121784121161604,11.507701687265545
silte,F4,0,0.35400471590428306,11.572491756647242
argila,A,1,0.3139160532563606,16.621155051570618
argila,B,1,0.32045414826576935,16.54176911852915
argila,C,1,0.3157365981457031,16.59908802947146
argila,D,1,0.32190194143789175,16.524138350876637
argila,E,1,0.3228877972324923,16.512122136835206
argila,F1,1,0.3279796190935045,16.449920153417665
argila,F2,1,0.29796142969531825,16.813303732881685
argila,F3,1,0.3357642510135209,16.35436532343654
argila,F4,1,0.3198700017985897,16.548877351393973
areia,A,1,0.34207827735607066,21.116206254785332
areia,B,1,0.33011903902149764,21.307259728595636
areia,C,1,0.33028782347305585,21.304575251113587
areia,D,1,0.3401495532120311,21.147135110487728
areia,E,1,0.3512751804219373,20.96809808288246
areia,F1,1,0.3444198088631868,21.078596663992723
areia,F2,1,0.3263700252581623,21.366799976597548
areia,F3,1,0.35865625401911316,20.84847122356487
areia,F4,1,0.3368730601041816,21.19957323686608
silte,A,1,0.3419250797308626,11.680189160541271
silte,B,1,0.3452997754228958,11.650201884907489
silte,C,1,0.3397331821366144,11.69962501407453
silte,D,1,0.3482267568527231,11.624130316937743
silte,E,1,0.3793795738544552,11.342929659266302
silte,F1,1,0.3706265374883987,11.422638163308784
silte,F2,1,0.35495594479253356,11.563968363302514
silte,F3,1,0.35675782708234527,11.547805527933074
silte,F4,1,0.34025499443131757,11.695000963090635
argila,A,2,0.3246541070237312,16.490571374661236
argila,B,2,0.3212268010552676,16.53236233667495
argila,C,2,0.32418530310196025,16.49629400024549
argila,D,2,0.31819707060771285,16.569217675770446
argila,E,2,0.3325935626730908,16.393352130155012
argila,F1,2,0.3268204156260721,16.46410170870224
argila,F2,2,0.2928267077554706,16.87467810752325
argila,F3,2,0.32059830812057755,16.54001442786847
argila,F4,2,0.26967039714007235,17.14873243546663
areia,A,2,0.33573424968577503,21.21776880185593
areia,B,2,0.32967129579930343,21.31437934242964
areia,C,2,0.3315386830670526,21.284670067665612
areia,D,2,0.3369267587388698,21.198714870905278
areia,E,2,0.3433115046436015,21.09640656178754
areia,F1,2,0.3485460291729444,21.012157636220543
areia,F2,2,0.3144302846087923,21.555325968190076
areia,F3,2,0.3367580707486515,21.2014112104487
areia,F4,2,0.30362740237292096,21.724491464268095
silte,A,2,0.3471296425668481,11.63390951343981
silte,B,2,0.344044912652936,11.661361500803439
silte,C,2,0.34246732566965377,11.675376000087361
silte,D,2,0.3574299172714216,11.541771101478375
silte,E,2,0.3765171332801991,11.369057634476613
silte,F1,2,0.37826675525010456,11.353094463196953
silte,F2,2,0.35464004035993335,11.566799690616707
silte,F3,2,0.3640438952437205,11.482217697310608
silte,F4,2,0.34880988163275795,11.618929247945664
