resposta,sistema,nivel,descricao,coluna,n_classes,omega2,r2_aleatoria,r2_aleatoria_ic_inf,r2_aleatoria_ic_sup,r2_bloco_1,r2_bloco_1_ic_inf,r2_bloco_1_ic_sup,r2_bloco_2,r2_bloco_2_ic_inf,r2_bloco_2_ic_sup,r2_bloco_5,r2_bloco_5_ic_inf,r2_bloco_5_ic_sup
log_soc,Köppen IPEF (referência),L1,"grupo (A, B, C)",koppen_ipef_l1,3,0.05941703302342592,0.059083574178697855,0.05871626565406192,0.05932275706115528,0.0386469230231406,0.023997570265129466,0.05554836660834469,0.030873747334972928,0.00573172169795165,0.05175073258432605,0.053647913343385326,0.04865765099975904,0.057306950211761784
log_soc,Köppen IPEF (referência),L2,"tipo (Af, Am, Aw, Cf...)",koppen_ipef_l2,8,0.07049697886892166,0.06988962917735161,0.06938026235523037,0.07026786920125594,0.04141922973391799,0.023822883559688333,0.06290192491126563,0.03050145682150843,-0.0033834750265581267,0.054609823845252724,0.05713963236745271,0.04438735114039631,0.06630300997828915
log_soc,Köppen IPEF (referência),L3,"subtipo (Cfa, Cfb...)",koppen_ipef_l3,10,0.10293999512930284,0.10220417660789616,0.10162730253633363,0.102746921805147,0.07687247556049394,0.061037738333154894,0.09600988105349721,0.06698036964836084,0.0456411843290257,0.09080761835221372,0.0897177217554108,0.07998607157315389,0.09524585023585956
log_soc,Köppen CHELSA,L1,"grupo (A, B, C)",koppen_chelsa_l1,3,0.056840025633424454,0.056522004648726226,0.05616713586165396,0.05681063798580232,0.028791826806049917,0.007861195165375735,0.05075312792125806,0.020763678034193593,-0.0016843453289467234,0.045318895682468566,0.05008561527142548,0.04444893327078684,0.05496828639460703
log_soc,Köppen CHELSA,L2,"tipo (Af, Am, Aw, Cf...)",koppen_chelsa_l2,8,0.059929718283328784,0.05908172271164859,0.05846265352288519,0.05970819186363295,0.02201559729906204,-0.0005647846552578104,0.045997149930889956,0.008774359419697491,-0.016279778102613447,0.033985870461406026,0.043642794250239335,0.03430357109498734,0.05084258262764188
log_soc,Köppen CHELSA,L3,"classe completa (Aw, Cfa...)",koppen_chelsa_l3,10,0.08796801498965748,0.08702894032701312,0.08635618190054689,0.08771787891707616,0.051033465042277654,0.031000892222094085,0.07605973036880605,0.0388793246180871,0.027243119723530707,0.06882374637527841,0.06866716992615954,0.05769546524576058,0.0753258366873511
log_soc,Holdridge ETP Penman,L1,faixa térmica (igual nas duas ETPs),holdridge_l1,4,0.08314073478824277,0.08284394735456294,0.08249643155436545,0.0831449010440955,0.06478497615983264,0.05436216001352588,0.0742379825577032,0.06327741456745867,0.050056379612585654,0.07269690803751021,0.07233303454982142,0.06795421374321697,0.07518558296045048
log_soc,Holdridge ETP Penman,L2,zona de vida,holdridge_etpm_l2,15,0.11660991437964557,0.11498428490774297,0.1141447127374626,0.11574054100261578,0.07978721317109583,0.06164494050847934,0.09936060588110185,0.06752370367353794,0.05422061547552423,0.09180404078636899,0.0941710704433814,0.082540532313877,0.10146551134940522
log_soc,Holdridge ETP Holdridge,L2,zona de vida,holdridge_eth_l2,13,0.10936525166166512,0.10866065795070057,0.10811030806902473,0.10926995259201756,0.08165148513603158,0.06745595468858855,0.09624301937640277,0.07598976984838628,0.059952120434696186,0.09189511993166459,0.09346525713807936,0.08584540550070548,0.09895924271427066
log_soc,Thornthwaite CAD 100 mm,L1,classe de umidade,th100_l1,9,0.08959212430374237,0.08875302037744252,0.08780134851269766,0.08940095393003494,0.07193882468498455,0.06208977619720503,0.07787123388574682,0.06705667804960773,0.05215080745447411,0.07635288910841076,0.04645191405095343,0.031544701211569784,0.06304501160185313
log_soc,Thornthwaite CAD 100 mm,L2,umidade + subtipo,th100_l2,26,0.09588483388633265,0.09395577778196702,0.09297877808965593,0.09471525899125507,0.061847505169900126,0.048235750512322643,0.07327771831811894,0.05071038496706753,0.03291862076553897,0.06456248784336129,0.028294742543253513,0.007233554965850128,0.050416783654831154
log_soc,Thornthwaite CAD 100 mm,L3,tipo completo,th100_l3,32,0.09568581711828958,0.09346368934489288,0.09255119444806431,0.09429397587741419,0.058402882349580666,0.0462370941311962,0.07082632373806558,0.046851247342916465,0.028864336493308128,0.0600775680896725,0.021478582751013362,0.0006844047223676097,0.04593470378667832
log_soc,Thornthwaite CAD do solo,L1,classe de umidade,thsolo_l1,9,0.08989999225846383,0.08906509390472435,0.08816207765523681,0.08971888452408144,0.07245363051336709,0.06233628454725286,0.0783655453346442,0.06769096016559406,0.05318145548027925,0.07674668626033074,0.047697960202183615,0.03319795471395264,0.0638008535686473
log_soc,Thornthwaite CAD do solo,L2,umidade + subtipo,thsolo_l2,26,0.09489994219270564,0.09297923453698224,0.0918865551810957,0.09393676595256145,0.06362396662063041,0.05135351881719383,0.07322382773259732,0.053516537570147876,0.034986422307729505,0.06690848281349449,0.028873888324220935,0.008745157180450117,0.052340198746957466
log_soc,Thornthwaite CAD do solo,L3,tipo completo,thsolo_l3,32,0.09467969748571746,0.09246702049909843,0.09153435404020205,0.09347327144637464,0.060174471851552405,0.0482072900333347,0.07016249095496725,0.049656844823296825,0.03038108059276464,0.06199090884420822,0.02204831674591279,0.0015030152969250925,0.04774701456778665
argila,Köppen IPEF (referência),L1,"grupo (A, B, C)",koppen_ipef_l1,3,0.03344160785168216,0.033128226548526755,0.03278438916650649,0.03341976501432331,-0.03668861484906363,-0.08182042131665852,-0.004648375945651246,-0.03881656982964951,-0.0750971275590744,-0.005224747664500159,-0.00619891391703002,-0.04579054051454122,0.018100878031253473
argila,Köppen IPEF (referência),L2,"tipo (Af, Am, Aw, Cf...)",koppen_ipef_l2,8,0.06108252456889089,0.06052947800781167,0.059927046033357474,0.06101259064404549,-0.03482366770980836,-0.08909923438029807,0.012323300504874395,-0.040121668083131314,-0.09889705781583916,0.016114590692372813,-0.002157597311349193,-0.042531507428746444,0.03932674451524806
argila,Köppen IPEF (referência),L3,"subtipo (Cfa, Cfb...)",koppen_ipef_l3,10,0.09459319860922098,0.09385922385528507,0.0931518040382259,0.09443350473128943,-0.010329997691323983,-0.061805839391661184,0.04082956146655436,-0.01523558445751891,-0.05602031931108727,0.03526996626141685,-0.0022589523555161016,-0.04320824093457042,0.05797896279483153
argila,Köppen CHELSA,L1,"grupo (A, B, C)",koppen_chelsa_l1,3,0.021037235973553964,0.020692216823773934,0.020259330922837937,0.02099127050719547,-0.061123139902461626,-0.11537657117515218,-0.017654279659106164,-0.062368762244665366,-0.10027749003527762,-0.02169197972963771,-0.01997917312745265,-0.056968721180109406,0.010416362206402179
argila,Köppen CHELSA,L2,"tipo (Af, Am, Aw, Cf...)",koppen_chelsa_l2,8,0.03394938404842087,0.033262175039963385,0.03262485493696005,0.0338752314004285,-0.07584008816798013,-0.14051448295323418,-0.01787645216255096,-0.07429961049899093,-0.12956939345478743,-0.02189519604699611,-0.027783899829098787,-0.06950354691705686,0.005582043353986846
argila,Köppen CHELSA,L3,"classe completa (Aw, Cfa...)",koppen_chelsa_l3,10,0.06331011290610525,0.062466197925624314,0.06197977103482904,0.06316318636650911,-0.057590325309156025,-0.1284547394267705,-0.003623699624168991,-0.05469869318254842,-0.10181829972092248,-0.008189924152094274,-0.026435645512912952,-0.0679058240951276,0.028009640151014766
argila,Holdridge ETP Penman,L1,faixa térmica (igual nas duas ETPs),holdridge_l1,4,0.024425794661400647,0.024040148916835022,0.023509577999642994,0.024427599175544264,-0.01652944552142857,-0.05069971271233631,0.004935472745423351,-0.026810583860843153,-0.061970572196406955,-0.006408206181795262,-0.02642624840577054,-0.05754397687892598,-0.004694982849122688
argila,Holdridge ETP Penman,L2,zona de vida,holdridge_etpm_l2,15,0.06121420939178843,0.060410260672412036,0.05987875683041473,0.0609574139025718,-0.011120953223251531,-0.08154790696294838,0.025808194909695836,-0.02037436048814756,-0.07147180131071068,0.013062342140440619,-0.012793955919245079,-0.057524286674485225,0.023703915523735405
argila,Holdridge ETP Holdridge,L2,zona de vida,holdridge_eth_l2,13,0.05905328690397893,0.0582766564965581,0.057530017897562784,0.05896801717194835,-0.0009690570010488142,-0.05365077334987449,0.027871322866763776,-0.011333447107857431,-0.05194243383984595,0.01088494532828513,-0.018310637469503177,-0.06191788234922127,0.022029527768413295
