classe,n,media,desvio_padrao,mediana,q25,q75,variavel,nivel,unidade
Subtropical_Thorn_steppe,4,60.0,22.686266036231405,53.0,45.0,68.0,areia,HLZ_L2,%
Subtropical_Wet_forest,99,18.20404040404041,17.618691774223354,8.95,6.0,27.7,areia,HLZ_L2,%
Tropical_Desert_bush,47,63.03404255319149,22.02105737890681,66.19999999999999,54.0,79.5,areia,HLZ_L2,%
Tropical_Dry_forest,5165,52.84757986447241,24.88853396092875,55.05,34.0,73.0,areia,HLZ_L2,%
Tropical_Moist_forest,145,35.51724137931034,26.457790925746203,35.8,9.6,57.0,areia,HLZ_L2,%
Tropical_Thorn_steppe,502,60.08326693227092,21.865217890012133,63.7,45.625,77.22500000000001,areia,HLZ_L2,%
Tropical_Very_dry_forest,2525,52.38192079207921,26.13291002935344,55.05,31.6,74.5,areia,HLZ_L2,%
Subtropical_Dry_forest,233,17.47145922746781,13.407674028759688,13.8,9.0,22.0,silte,HLZ_L2,%
Subtropical_Moist_forest,3333,27.056315631563155,13.696232587161306,26.0,16.7,36.0,silte,HLZ_L2,%
Subtropical_Thorn_steppe,4,13.75,9.03234926989282,13.0,6.0,20.75,silte,HLZ_L2,%
Subtropical_Wet_forest,99,29.707070707070702,10.011511257458324,29.0,23.05,35.0,silte,HLZ_L2,%
Tropical_Desert_bush,47,18.61914893617021,12.718877416588516,15.2,8.825,27.0,silte,HLZ_L2,%
Tropical_Dry_forest,5165,14.916534365924491,13.155264914033276,10.15,7.0,18.05,silte,HLZ_L2,%
Tropical_Moist_forest,145,37.78344827586207,19.75817346270589,37.7,21.0,53.8,silte,HLZ_L2,%
Tropical_Thorn_steppe,502,19.58655378486056,12.80807985830749,17.15,10.8875,26.0,silte,HLZ_L2,%
Tropical_Very_dry_forest,2525,18.324732673267327,13.03933511645215,15.0,8.5,25.5,silte,HLZ_L2,%
Subtropical_Dry_forest,233,43.511802575107296,20.77111929426813,43.75,28.0,58.2,argila,HLZ_L2,%
Subtropical_Moist_forest,3333,35.39473447344734,20.493251349342984,32.0,18.0,52.0,argila,HLZ_L2,%
Subtropical_Thorn_steppe,4,26.25,21.577380131362872,25.5,13.25,38.5,argila,HLZ_L2,%
Subtropical_Wet_forest,99,52.10808080808081,17.630154054726905,58.4,37.2,65.5,argila,HLZ_L2,%
Tropical_Desert_bush,47,18.346808510638297,13.490662649529275,16.25,6.7,29.175,argila,HLZ_L2,%
Tropical_Dry_forest,5165,32.233349467570186,19.783428935065263,28.0,16.5,44.85,argila,HLZ_L2,%
Tropical_Moist_forest,145,26.677241379310345,14.724792466126576,26.0,15.5,36.75,argila,HLZ_L2,%
Tropical_Thorn_steppe,502,20.338944223107568,14.396816163637611,17.0,9.0,28.0,argila,HLZ_L2,%
Tropical_Very_dry_forest,2525,29.292039603960397,19.383423939328765,25.0,13.8,42.2,argila,HLZ_L2,%
A,7285,4722.166437886067,6981.499728512332,3600.0,2401.0,5096.0,SOC,koppen_l1,g/m2
B,467,2867.025695931477,1746.5670126881491,2542.0,1655.5,3660.5,SOC,koppen_l1,g/m2
C,4534,5947.042236435818,5940.151052239307,4838.0,3309.75,6873.0,SOC,koppen_l1,g/m2
Af,500,5363.747,5506.764645980746,4408.0,3269.5,6090.5,SOC,koppen_l2,g/m2
Am,4192,4397.431774809161,5698.159520192325,3455.0,2365.25,4897.75,SOC,koppen_l2,g/m2
As,867,4031.171280276817,5215.58878629988,3181.0,2070.5,4488.5,SOC,koppen_l2,g/m2
Aw,1726,5672.102838933952,10148.055812457424,3885.0,2558.0,5704.25,SOC,koppen_l2,g/m2
Bs,467,2867.025695931477,1746.5670126881491,2542.0,1655.5,3660.5,SOC,koppen_l2,g/m2
Cf,3567,5780.104850014018,5011.722743462901,4771.0,3197.0,6934.0,SOC,koppen_l2,g/m2
Cs,1,5970.0,,5970.0,5970.0,5970.0,SOC,koppen_l2,g/m2
Cw,966,6563.442546583851,8511.725117611808,5051.25,3687.0,6651.5,SOC,koppen_l2,g/m2
Bsh,467,2867.025695931477,1746.5670126881491,2542.0,1655.5,3660.5,SOC,koppen_l3,g/m2
Cfa,2596,5005.084745762712,4605.8684411571085,4347.5,2788.0,5939.25,SOC,koppen_l3,g/m2
Cfb,971,7852.146240988672,5447.971242253997,6696.0,4768.0,8877.0,SOC,koppen_l3,g/m2
Csa,1,5970.0,,5970.0,5970.0,5970.0,SOC,koppen_l3,g/m2
Cwa,403,4982.156327543425,2717.4781421591697,4614.0,3360.0,5925.5,SOC,koppen_l3,g/m2
Cwb,563,7695.340142095914,10772.319363698349,5444.0,3940.0,7446.5,SOC,koppen_l3,g/m2
Subtropical_Zone,4057,5952.257333004684,4945.694609750503,4985.0,3432.0,7042.0,SOC,HLZ_L1,g/m2
Tropical_Zone,8225,4684.303100303951,7141.303292311302,3549.0,2345.0,5040.0,SOC,HLZ_L1,g/m2
Subtropical_Dry_forest,251,5495.589641434263,4344.582634147068,4762.0,3481.0,6080.0,SOC,HLZ_L2,g/m2
Subtropical_Moist_forest,3671,5733.609643149006,4649.792731137508,4902.0,3383.0,6927.5,SOC,HLZ_L2,g/m2
Subtropical_Thorn_steppe,5,4750.4,1375.3048025801406,4905.0,3852.0,5215.0,SOC,HLZ_L2,g/m2
Subtropical_Wet_forest,130,13054.476923076923,8042.018784320907,10130.5,6845.75,18345.0,SOC,HLZ_L2,g/m2
Tropical_Desert_bush,44,2645.2727272727275,2040.7152458360615,2220.0,1215.0,3070.0,SOC,HLZ_L2,g/m2
Tropical_Dry_forest,4554,4519.326306543698,5543.303095320598,3622.0,2479.5,5033.5,SOC,HLZ_L2,g/m2
Tropical_Moist_forest,133,5662.691729323308,3054.2472121681863,5006.0,3760.0,6749.0,SOC,HLZ_L2,g/m2
Tropical_Thorn_steppe,873,3005.6174112256585,1739.4585063506888,2739.0,1774.0,3902.0,SOC,HLZ_L2,g/m2
Tropical_Very_dry_forest,2621,5514.66882869134,10165.677480606548,3696.0,2339.0,5452.0,SOC,HLZ_L2,g/m2
