zona,clim_t_media,clim_t_mes_frio,clim_p_anual,clim_p_mes_seco,clim_p_sazonalidade,clim_etp_anual,clim_def_anual,clim_exc_anual,clim_im
1,27.021515401029863,25.332590327457794,708.5244570303252,1.0111095265521672,0.9299525000004962,1942.7152248566438,1196.7282201900555,0.3017121044150834,-37.31860141781303
2,26.933998034275184,25.765924876808246,1820.7670762925754,13.87979365688974,0.7741762337092689,1741.4443297736443,574.2084483842682,648.4616479831743,19.3820988633064
3,26.859584310283843,25.595598238030576,1392.1400879343532,1.106758963065961,0.8573976353768586,1802.861147945631,720.3793900647962,284.94406971984733,-5.00627170854743
4,26.005045911761076,25.051264693911744,2105.9089250357056,29.596928980606283,0.6180621501239862,1510.4739287121015,258.3226210984258,846.3838058661466,47.802656784616545
5,25.908999744142523,25.2109174644378,2371.9658730852766,71.01785579295205,0.4617713304485607,1436.687553873569,56.14446966529574,994.1130632418451,68.18226806101522
6,25.627691140496474,24.832487677948556,2925.405794649501,145.0042121263813,0.284151333910156,1399.016899019263,0.32391442808215337,1511.0202238702223,110.53837698943603
7,25.35708056155511,24.377972049188745,1894.469171717696,4.175252485076068,0.7420342734109368,1565.9366107760486,386.8362678169049,703.2465137053445,32.071030453995185
8,25.311585709403133,22.42734209880564,762.916353068935,16.010689547896437,0.5476009551594038,1748.3453284613615,900.8518631376835,0.03440414488211944,-32.3009287005094
9,24.73683027202281,22.210751502098688,1400.4726852955707,12.763675550408756,0.7058080144229618,1708.8658137504042,477.36006575639806,135.63842707976156,-5.849461655954826
10,23.629566643293515,21.425092589546278,1320.2866153715509,1.5878530721157136,0.8674484754479997,1721.5055944783662,625.7917242091075,182.14281993201246,-7.504636827161484
11,23.600295105494332,21.038323317690292,807.7122441879544,2.9020830429121145,0.875736725899964,1730.7857460626003,889.0173929439595,0.23985243268235903,-31.315039437522103
12,23.55255195421042,20.079983105085965,1242.601660451342,38.05204682327799,0.4389099640586125,1630.3061349350971,318.7291582480365,0.8062445366397706,-13.376085043779312
13,21.062530893543713,17.91062219904431,1452.8501892702373,13.40122832075015,0.762804825848457,1485.1255508322993,297.0820616107094,238.3871399610777,8.059337466491897
14,19.652562061217367,14.266477286075308,1594.0481010427184,84.7559438778338,0.2254402088716304,1442.4524677690627,48.630413084009035,206.02992356990907,13.939768099783867
15,18.370560022015564,13.83359484009252,1967.9187068091205,103.24303091028368,0.2519106680273367,1274.306060566704,0.5720063729804691,661.3056271340512,57.21426088202744
