resposta,versao,r2_bloco_2,ic_inf,ic_sup
log_soc,Köppen IPEF L3,0.06698036964836084,0.0456411843290257,0.09080761835221372
log_soc,Köppen CHELSA L3,0.0388793246180871,0.027243119723530707,0.06882374637527841
log_soc,CHELSA com o grupo do IPEF onde discordam (A x C/B),0.0646704836695535,0.042334565316748854,0.08907273153520415
log_soc,CHELSA com o subtipo do IPEF dentro do grupo A (Am/Aw...),0.051185076675531495,0.03819457126802253,0.08023656363119847
argila,Köppen IPEF L3,-0.01523558445751891,-0.05602031931108727,0.03526996626141685
argila,Köppen CHELSA L3,-0.05469869318254842,-0.10181829972092248,-0.008189924152094274
argila,CHELSA com o grupo do IPEF onde discordam (A x C/B),-0.027073111007888985,-0.07188115319734999,0.02064375724533759
argila,CHELSA com o subtipo do IPEF dentro do grupo A (Am/Aw...),-0.054403717635940055,-0.10088247540627696,-0.009323867747765063
areia,Köppen IPEF L3,0.048545969367013296,0.009902899067195336,0.08031782743673739
areia,Köppen CHELSA L3,0.03150818089455158,-0.0013181843166325312,0.0672962887296858
areia,CHELSA com o grupo do IPEF onde discordam (A x C/B),0.06211687046804977,0.025678871852352122,0.09921958483393328
areia,CHELSA com o subtipo do IPEF dentro do grupo A (Am/Aw...),0.019754475707484242,-0.01251868933404413,0.046668415236556085
silte,Köppen IPEF L3,0.1416175748296464,0.12240577977259165,0.15481702991919583
silte,Köppen CHELSA L3,0.1452113549735039,0.1311562057545194,0.1553318944434099
silte,CHELSA com o grupo do IPEF onde discordam (A x C/B),0.14029642748357637,0.1263466551981102,0.15144947238893575
silte,CHELSA com o subtipo do IPEF dentro do grupo A (Am/Aw...),0.1553396372160158,0.13899776177562426,0.16640730204520193
