resposta,melhor,coluna,sistema,nivel,delta_r2,ic_inf,ic_sup,prop_melhor_vence
areia,thsolo_l2,koppen_ipef_l2,Köppen IPEF (referência),L2,0.05571741449679571,0.0060951723595317866,0.10066719170316786,0.98
areia,thsolo_l2,koppen_ipef_l3,Köppen IPEF (referência),L3,0.022274456750869368,-0.00772205935359691,0.06532847841751484,0.76
areia,thsolo_l2,koppen_chelsa_l1,Köppen CHELSA,L1,0.05457954171228766,0.009136272331726397,0.08595356388518374,0.98
areia,thsolo_l2,koppen_chelsa_l2,Köppen CHELSA,L2,0.06775718115580348,0.016453005270019888,0.10207853761263674,1.0
areia,thsolo_l2,koppen_chelsa_l3,Köppen CHELSA,L3,0.03931224522333109,0.006632909281338664,0.07301880537137614,1.0
areia,thsolo_l2,holdridge_l1,Holdridge ETP Penman,L1,0.03089390682942423,-0.0007895068967234408,0.060106562200147706,0.94
areia,thsolo_l2,holdridge_etpm_l2,Holdridge ETP Penman,L2,0.022025115734703372,-0.009085951522980865,0.07637618410222553,0.8
areia,thsolo_l2,holdridge_eth_l2,Holdridge ETP Holdridge,L2,0.024064429559420005,-0.011188981283872312,0.057167348175643694,0.9
areia,thsolo_l2,th100_l1,Thornthwaite CAD 100 mm,L1,0.010324426018459563,-0.026075450882182077,0.03429091478892726,0.68
areia,thsolo_l2,th100_l2,Thornthwaite CAD 100 mm,L2,0.005235029082050222,0.00029834227909012194,0.011847865193770004,0.98
areia,thsolo_l2,th100_l3,Thornthwaite CAD 100 mm,L3,0.005416950743177777,0.00021485613185997233,0.01218986324560202,0.98
areia,thsolo_l2,thsolo_l1,Thornthwaite CAD do solo,L1,0.01609243628833536,-0.02242860561497268,0.04116173993506742,0.82
areia,thsolo_l2,thsolo_l2,Thornthwaite CAD do solo,L2,0.0,0.0,0.0,0.0
areia,thsolo_l2,thsolo_l3,Thornthwaite CAD do solo,L3,0.0001623061763927991,-0.0004917950661688875,0.0009423559067945924,0.66
silte,th100_l2,koppen_ipef_l1,Köppen IPEF (referência),L1,0.12538849424422868,0.11527716933347364,0.140677071205521,1.0
silte,th100_l2,koppen_ipef_l2,Köppen IPEF (referência),L2,0.05893547672993567,0.04682811775477818,0.07134003269866844,1.0
silte,th100_l2,koppen_ipef_l3,Köppen IPEF (referência),L3,0.05694928202501967,0.04546473371168026,0.07319745612856945,1.0
silte,th100_l2,koppen_chelsa_l1,Köppen CHELSA,L1,0.10021988481965312,0.09055162395178909,0.111100648772631,1.0
silte,th100_l2,koppen_chelsa_l2,Köppen CHELSA,L2,0.05800178852151374,0.043546259820014234,0.07260932649917969,1.0
silte,th100_l2,koppen_chelsa_l3,Köppen CHELSA,L3,0.053355501881162164,0.04023103553272295,0.06893693652881516,1.0
silte,th100_l2,holdridge_l1,Holdridge ETP Penman,L1,0.1506063180469215,0.1374899368713223,0.17209585345105233,1.0
silte,th100_l2,holdridge_etpm_l2,Holdridge ETP Penman,L2,0.12404144907078056,0.1031523005211689,0.16043733805872987,1.0
silte,th100_l2,holdridge_eth_l2,Holdridge ETP Holdridge,L2,0.14227395057745332,0.12517525043571096,0.16898337725378448,1.0
silte,th100_l2,th100_l1,Thornthwaite CAD 100 mm,L1,0.13728649125854211,0.11049855803203243,0.16741145066722998,1.0
silte,th100_l2,th100_l2,Thornthwaite CAD 100 mm,L2,0.0,0.0,0.0,0.0
silte,th100_l2,th100_l3,Thornthwaite CAD 100 mm,L3,0.001587723198686528,0.0006263299494565805,0.002209359229700178,1.0
silte,th100_l2,thsolo_l1,Thornthwaite CAD do solo,L1,0.14096239936526295,0.11405848848221506,0.1697093256770913,1.0
silte,th100_l2,thsolo_l2,Thornthwaite CAD do solo,L2,0.007313610257707186,0.001516192376135525,0.012241448129849139,1.0
silte,th100_l2,thsolo_l3,Thornthwaite CAD do solo,L3,0.008891765692023825,0.0027076582496918665,0.013894088383529821,1.0
