resposta,melhor,coluna,sistema,nivel,delta_r2,ic_inf,ic_sup,prop_melhor_vence
log_soc,holdridge_eth_l2,koppen_ipef_l1,Köppen IPEF (referência),L1,0.045116022513413324,0.028641580504124596,0.06416034686535209,1.0
log_soc,holdridge_eth_l2,koppen_ipef_l2,Köppen IPEF (referência),L2,0.04548831302687784,0.025229164393608783,0.07211162204864582,1.0
log_soc,holdridge_eth_l2,koppen_ipef_l3,Köppen IPEF (referência),L3,0.009009400200025434,-0.0010864198826170289,0.023184430846787486,0.9
log_soc,holdridge_eth_l2,koppen_chelsa_l1,Köppen CHELSA,L1,0.055226091814192683,0.03049655995302474,0.07967537820306318,1.0
log_soc,holdridge_eth_l2,koppen_chelsa_l2,Köppen CHELSA,L2,0.06721541042868877,0.04226255554367538,0.08980531903360875,1.0
log_soc,holdridge_eth_l2,koppen_chelsa_l3,Köppen CHELSA,L3,0.03711044523029917,0.021455373477342884,0.05199085741959644,1.0
log_soc,holdridge_eth_l2,holdridge_l1,Holdridge ETP Penman,L1,0.012712355280927599,0.004447099916076841,0.021696027243228572,1.0
log_soc,holdridge_eth_l2,holdridge_etpm_l2,Holdridge ETP Penman,L2,0.008466066174848323,-0.0005427495346217114,0.018719847355346875,0.94
log_soc,holdridge_eth_l2,holdridge_eth_l2,Holdridge ETP Holdridge,L2,0.0,0.0,0.0,0.0
log_soc,holdridge_eth_l2,th100_l1,Thornthwaite CAD 100 mm,L1,0.00893309179877853,-0.004668683478955121,0.02389273154533204,0.9
log_soc,holdridge_eth_l2,th100_l2,Thornthwaite CAD 100 mm,L2,0.025279384881318742,0.009402778246486021,0.042218296282229124,1.0
log_soc,holdridge_eth_l2,th100_l3,Thornthwaite CAD 100 mm,L3,0.02913852250546981,0.011008004963540197,0.04729401998255964,1.0
log_soc,holdridge_eth_l2,thsolo_l1,Thornthwaite CAD do solo,L1,0.008298809682792212,-0.005136160229142755,0.0230656583415406,0.9
log_soc,holdridge_eth_l2,thsolo_l2,Thornthwaite CAD do solo,L2,0.022473232278238404,0.00683915126341364,0.03943599369766629,1.0
log_soc,holdridge_eth_l2,thsolo_l3,Thornthwaite CAD do solo,L3,0.026332925025089438,0.008016716444777717,0.04453669961878678,1.0
argila,th100_l1,koppen_ipef_l1,Köppen IPEF (referência),L1,0.03075359386193628,-0.018718728102515996,0.06647779270021477,0.88
argila,th100_l1,koppen_ipef_l2,Köppen IPEF (referência),L2,0.03205869211541808,-0.02889153817077713,0.08794119819613833,0.82
argila,th100_l1,koppen_ipef_l3,Köppen IPEF (referência),L3,0.0071726084898056765,-0.04260132562114217,0.04932399877190045,0.6
argila,th100_l1,koppen_chelsa_l1,Köppen CHELSA,L1,0.05430578627695212,-0.004765785274319233,0.10246375583467945,0.96
argila,th100_l1,koppen_chelsa_l2,Köppen CHELSA,L2,0.0662366345312777,0.002651213754120541,0.13237289355963017,0.98
argila,th100_l1,koppen_chelsa_l3,Köppen CHELSA,L3,0.04663571721483519,0.004768050431496529,0.08992187439584232,0.98
argila,th100_l1,holdridge_l1,Holdridge ETP Penman,L1,0.01874760789312992,-0.011218777133883511,0.04449577201472343,0.86
argila,th100_l1,holdridge_etpm_l2,Holdridge ETP Penman,L2,0.012311384520434327,-0.02216296256135199,0.04554336805485584,0.76
argila,th100_l1,holdridge_eth_l2,Holdridge ETP Holdridge,L2,0.0032704711401441975,-0.037021151640675584,0.03964031416350786,0.6
argila,th100_l1,th100_l1,Thornthwaite CAD 100 mm,L1,0.0,0.0,0.0,0.0
argila,th100_l1,th100_l2,Thornthwaite CAD 100 mm,L2,0.034649810603422385,0.004888682887066167,0.07715502274109937,0.98
argila,th100_l1,th100_l3,Thornthwaite CAD 100 mm,L3,0.03439455292115554,0.004585289317406557,0.07762244381673274,0.98
argila,th100_l1,thsolo_l1,Thornthwaite CAD do solo,L1,0.002795738810675066,-0.0030521682276131276,0.007174452232539851,0.84
argila,th100_l1,thsolo_l2,Thornthwaite CAD do solo,L2,0.033635437398733314,0.006237145094640686,0.07503324437421172,0.98
argila,th100_l1,thsolo_l3,Thornthwaite CAD do solo,L3,0.033357967319027106,0.006188070134007332,0.07545966172947288,0.98
areia,thsolo_l2,koppen_ipef_l1,Köppen IPEF (referência),L1,0.028570747951668113,-0.009943046942124665,0.06294590840049921,0.96
