alvo,termo,coef_log,p_HC3,ic95_inf,ic95_sup,variacao_condicional_pct
SOC,const,8.532823136219971,0.0,8.441058422540568,8.624587849899374,507776.3656360828
SOC,areia,-0.010848320535857662,2.2806401269869423e-109,-0.011805289536094731,-0.009891351535620593,-1.078968971348022
SOC,argila,-0.0009950670784435456,0.1086889995742223,-0.0022108759543373506,0.00022074179745025925,-0.09945721633697548
SOC,koppen_l2_Af,0.1722154206181059,4.7590112575928184e-07,0.10518789635441894,0.23924294488179287,18.793371106654057
SOC,koppen_l2_As,-0.12669978527355066,1.582058249828585e-05,-0.1842236124245349,-0.06917595812256644,-11.900187849050685
SOC,koppen_l2_Aw,-0.048476291264958636,0.014279347504554812,-0.08725410826875343,-0.009698474261163846,-4.732007412597386
SOC,koppen_l2_Bs,-0.40781538442804655,8.40023846504382e-25,-0.48554537608700143,-0.33008539276909166,-33.48983443886425
SOC,koppen_l2_Cf,-0.12193490922211914,7.964497003477714e-05,-0.1825077381969527,-0.06136208024728555,-11.479401462638396
SOC,koppen_l2_Cw,-0.16580064072012946,2.1190311743398952e-08,-0.22380917079030668,-0.10779211064995223,-15.278488244966201
SOC,elevation,0.00036676545088066165,1.427996623283858e-47,0.0003171511595851171,0.0004163797421762062,0.03668327175520872
SOC,latitude,-0.011195450020668251,7.521882233855503e-15,-0.01401752010245249,-0.008373379938884012,-1.113301418638808
