variavel_pt,bloco,queda_r2_media,queda_r2_dp,r2_base_medio,n_folds,queda_pct_do_r2
SOC,Holdridge L2,0.023237479836562054,0.012240366082896473,0.2628710623199353,5,8.839877478898824
SOC,Köppen L2,0.009867922186058257,0.010003044786574992,0.2628710623199353,5,3.7539020457292476
SOC,Relevo,0.09831104936011714,0.03151937043168817,0.2628710623199353,5,37.39896224882474
SOC,Textura,0.43095377378390076,0.066330849962862,0.2628710623199353,5,163.94112382723787
areia,Holdridge L2,0.07747811726087579,0.04784166517350221,0.1171149604610274,5,66.15561065459127
areia,Köppen L2,0.012696721852595166,0.028103132428716857,0.1171149604610274,5,10.841246756703027
areia,Relevo,0.47493209680251647,0.18613037266456464,0.1171149604610274,5,405.5264117691955
argila,Holdridge L2,0.013246341785721103,0.029465049544274396,0.1072831470482399,5,12.34708539987635
argila,Köppen L2,0.03896029065656553,0.013140969310102299,0.1072831470482399,5,36.3153875781133
argila,Relevo,0.3479621561934671,0.1256998496659875,0.1072831470482399,5,324.33999725698374
silte,Holdridge L2,0.040977517741438756,0.044475092467696806,0.09880325165739548,5,41.47385541877717
silte,Köppen L2,0.08535820926627305,0.05221989594529042,0.09880325165739548,5,86.39210535525321
silte,Relevo,0.3428465372460836,0.19175782906911434,0.09880325165739548,5,346.9992449589804
