modelo,n,k,R2,R2_aj,AIC,alvo,referencia_clima
M1 clima,9791,6,0.08535906571496577,0.08479816571438215,18504.43243004379,SOC,Am
M2 textura,9791,2,0.22487292632716405,0.2247145431899199,16875.97704056294,SOC,Am
M3 textura+clima,9791,8,0.2484047344001047,0.2477900582474979,16586.130169210308,SOC,Am
M4 textura+clima+relevo,9791,10,0.2701753887104422,0.26942914677660834,16302.33624047852,SOC,Am
M5 clima+relevo,9791,8,0.13498839915101146,0.13428096786837063,17962.205772741207,SOC,Am
