zona,clim_t_media,clim_t_mes_frio,clim_p_anual,clim_p_mes_seco,clim_p_sazonalidade,clim_etp_anual,clim_def_anual,clim_exc_anual,clim_im
1,26.764738407219298,25.500356930898146,1499.3228325197238,2.0732733109830788,0.8341426037159803,1781.988713438851,670.2002888722257,363.4143171483023,1.1601102956786562
2,26.484171799508314,24.643804918774073,722.8953327691049,1.2487951897113763,0.9131371418401569,1911.6460923564541,1145.7766673630383,0.3886985011947278,-36.37399727373312
3,25.979475926623305,25.19262204659155,2299.5704293792346,53.713208685565576,0.5162581608655249,1463.75279537289,108.5370995635428,949.9280532782611,62.063288137131835
4,25.832379568855988,24.84319536184461,1971.051058082941,13.650307973271357,0.6890494538324637,1552.6342149106251,349.41434504529855,758.5131388110433,37.37129522281653
5,25.649636829641175,24.87716973635204,2855.9557235227676,136.8149641204198,0.2984511843020758,1399.6195601368952,0.8550328009044339,1440.370999302251,105.67028641586948
6,24.204161819040433,21.850671144428773,1373.5135933308823,5.113052351527768,0.7876591581494369,1713.1942517716157,543.436045463755,163.55372992823456,-5.744710237256054
7,24.186898359487106,21.013879784602683,988.6878488496726,22.903255997836474,0.5245433433546255,1676.6658135726675,549.2585725408201,0.2999109880875603,-22.63137628244865
8,21.19874025230471,18.052957745352195,1444.9590447874464,13.584094744507377,0.7542398747014618,1496.24643080326,300.8572502350941,215.4930759576125,6.906189423934194
9,19.854431390171612,14.577201390143754,1587.55426458505,82.35339056896998,0.23527304924795833,1451.9693324803534,51.15275953099945,171.9434710768377,12.822832593088313
10,18.36245238534336,13.818316205357052,1964.5897325039766,103.17379255385329,0.25131318366557326,1274.6381831728177,0.6185558923707938,657.3145312320313,56.92638553603801
