rep,camada,cenario,fracao,n,r2,rmse
0,000_010cm,koppen_ipef,areia,11581,0.3245441302567471,22.217244469502045
0,000_010cm,koppen_ipef,silte,11581,0.2930549202150057,12.550558799693157
0,000_010cm,koppen_ipef,argila,11581,0.28082439573843143,17.11211343289251
0,000_010cm,sem_clima,areia,11581,0.3270127612541637,22.176607926789735
0,000_010cm,sem_clima,silte,11581,0.29832797567975755,12.503664306323348
0,000_010cm,sem_clima,argila,11581,0.27841131396299645,17.140797907734633
0,000_010cm,koppen_chelsa,areia,11581,0.32620352089214255,22.189937165098932
0,000_010cm,koppen_chelsa,silte,11581,0.3138044455549187,12.365001537130002
0,000_010cm,koppen_chelsa,argila,11581,0.28899466499378246,17.01463381297585
0,000_010cm,holdridge_etpm,areia,11581,0.3306711697360488,22.116248944311916
0,000_010cm,holdridge_etpm,silte,11581,0.297182360565701,12.513867466952684
0,000_010cm,holdridge_etpm,argila,11581,0.2842354370818223,17.0714839239975
0,000_010cm,holdridge_eth,areia,11581,0.3276510059213418,22.166089555583216
0,000_010cm,holdridge_eth,silte,11581,0.2923103744090231,12.55716610704276
0,000_010cm,holdridge_eth,argila,11581,0.28462379464789267,17.066851996242498
0,000_010cm,th_cad100,areia,11581,0.312630646424365,22.412318543001213
0,000_010cm,th_cad100,silte,11581,0.3109664204062502,12.390545258331583
0,000_010cm,th_cad100,argila,11581,0.2685571256065511,17.257440459363572
0,000_010cm,th_cadsolo,areia,11581,0.3092521380762778,22.467330734946973
0,000_010cm,th_cadsolo,silte,11581,0.31644522645167394,12.341185631997226
0,000_010cm,th_cadsolo,argila,11581,0.2644095013915405,17.30630018429016
0,000_010cm,clima_continuo,areia,11581,0.36318647379763813,21.572369156658507
0,000_010cm,clima_continuo,silte,11581,0.3748692670234841,11.802001074198134
0,000_010cm,clima_continuo,argila,11581,0.3065870147262847,16.802819499267258
0,000_010cm,zonas_k10,areia,11581,0.3384180694131902,21.98788826437494
0,000_010cm,zonas_k10,silte,11581,0.31326659594189077,12.369846517958313
0,000_010cm,zonas_k10,argila,11581,0.30109226669637656,16.869262641621326
0,010_020cm,koppen_ipef,areia,9749,0.34929607289526365,21.782197574840197
0,010_020cm,koppen_ipef,silte,9749,0.29795452628011143,12.241032153177313
0,010_020cm,koppen_ipef,argila,9749,0.3194618421640476,17.038993027987278
0,010_020cm,sem_clima,areia,9749,0.36213153853667046,21.566295117269636
0,010_020cm,sem_clima,silte,9749,0.30642456674089047,12.166965252819402
