rep,camada,cenario,fracao,n,r2,rmse
0,000_010cm,koppen_ipef,areia,11581,0.8226734617111452,11.383572342115642
0,000_010cm,koppen_ipef,silte,11581,0.8200987536685741,6.331218627139809
0,000_010cm,koppen_ipef,argila,11581,0.8013681713648185,8.993124325628974
0,000_010cm,sem_clima,areia,11581,0.8219049711076508,11.408212508305784
0,000_010cm,sem_clima,silte,11581,0.8199331291534245,6.334132347307317
0,000_010cm,sem_clima,argila,11581,0.800526399648408,9.012159931363621
0,000_010cm,koppen_chelsa,areia,11581,0.8233231151664049,11.362700782116526
0,000_010cm,koppen_chelsa,silte,11581,0.820021750111885,6.332573465431103
0,000_010cm,koppen_chelsa,argila,11581,0.8022287696573102,8.973621236006753
0,000_010cm,holdridge_etpm,areia,11581,0.8211554970076734,11.432191794426743
0,000_010cm,holdridge_etpm,silte,11581,0.8178915028140491,6.369939827208018
0,000_010cm,holdridge_etpm,argila,11581,0.801160918878127,8.997814816224611
0,000_010cm,holdridge_eth,areia,11581,0.8231446690545652,11.368437576862762
0,000_010cm,holdridge_eth,silte,11581,0.8210254452946044,6.314891162950824
0,000_010cm,holdridge_eth,argila,11581,0.801102805232102,8.999129592026888
0,000_010cm,th_cad100,areia,11581,0.8230669218554912,11.370936136158097
0,000_010cm,th_cad100,silte,11581,0.8203772950367567,6.326315410865726
0,000_010cm,th_cad100,argila,11581,0.801367229343468,8.993145650773933
0,000_010cm,th_cadsolo,areia,11581,0.8231622659171044,11.367871990830803
0,000_010cm,th_cadsolo,silte,11581,0.8198204480381235,6.336113904129646
0,000_010cm,th_cadsolo,argila,11581,0.8020917765773918,8.976728642476507
0,000_010cm,clima_continuo,areia,11581,0.8273473145069794,11.23255031798264
0,000_010cm,clima_continuo,silte,11581,0.8217498532417299,6.302098295056795
0,000_010cm,clima_continuo,argila,11581,0.8059978819125027,8.88770053100016
0,000_010cm,zonas_k10,areia,11581,0.8222678957171686,11.39658267071569
0,000_010cm,zonas_k10,silte,11581,0.8196834575325546,6.338522120038729
0,000_010cm,zonas_k10,argila,11581,0.8014947239400387,8.990259013494187
0,010_020cm,koppen_ipef,areia,9749,0.828075728509843,11.196404379802937
0,010_020cm,koppen_ipef,silte,9749,0.8295377519066818,6.031835968683361
0,010_020cm,koppen_ipef,argila,9749,0.8111113727511627,8.97678016654418
0,010_020cm,sem_clima,areia,9749,0.82815824147674,11.193717268175158
0,010_020cm,sem_clima,silte,9749,0.8294596501737314,6.033217632067253
0,010_020cm,sem_clima,argila,9749,0.8111657582639116,8.975487759621808
0,010_020cm,koppen_chelsa,areia,9749,0.8286379103958943,11.178083610735062
0,010_020cm,koppen_chelsa,silte,9749,0.8289724877759028,6.041828675666915
0,010_020cm,koppen_chelsa,argila,9749,0.8121429043946484,8.952235254309107
0,010_020cm,holdridge_etpm,areia,9749,0.8249180908237309,11.298755633834205
0,010_020cm,holdridge_etpm,silte,9749,0.824994436958992,6.111690370032115
0,010_020cm,holdridge_etpm,argila,9749,0.8107017120917547,8.9865092910433
0,010_020cm,holdridge_eth,areia,9749,0.8270256117422516,11.230546251363139
0,010_020cm,holdridge_eth,silte,9749,0.8287320467832202,6.046074171169933
0,010_020cm,holdridge_eth,argila,9749,0.8109627424021553,8.980311240986651
0,010_020cm,th_cad100,areia,9749,0.829049871501915,11.164639252531861
0,010_020cm,th_cad100,silte,9749,0.8288320718913669,6.044308378048117
