variavel,cenario,camada,n,me,mae,rmse,mec,slope,fator_smearing
areia,clima_continuo,000_010cm,11581,0.35169175153305665,17.104700118709797,21.572369156658507,0.36318647379763813,0.9061796236655439,
silte,clima_continuo,000_010cm,11581,0.1624351921885518,8.729036930987705,11.802001074198134,0.3748692670234842,0.899416798004621,
argila,clima_continuo,000_010cm,11581,-0.5141269437216085,13.087811120687046,16.802819499267258,0.3065870147262846,0.9099223074985343,
areia,clima_continuo,010_020cm,9749,-0.5463212583833466,17.09061301860369,21.517974011185718,0.3649867326447228,0.8665999570620225,
silte,clima_continuo,010_020cm,9749,0.42786827604992134,8.82824793692589,11.824487243844663,0.3449208142787752,0.8408434108409397,
argila,clima_continuo,010_020cm,9749,0.118452982333425,13.404286347352333,16.878485153056694,0.332222836910981,0.9198026396563361,
areia,clima_continuo,020_030cm,6381,-0.446440417849162,15.302979036512555,19.414346648527168,0.4007310286526695,0.933500577416059,
silte,clima_continuo,020_030cm,6381,0.1935482501347056,7.279609402991591,10.108903732642597,0.39217196080528827,0.9033663318346716,
argila,clima_continuo,020_030cm,6381,0.2528921677144564,13.257154682419344,16.81783546298782,0.29692822501544713,0.8945215270756482,
areia,holdridge_eth,000_010cm,11581,0.6027987193386933,17.457295446585114,22.166089555583216,0.3276510059213419,0.8682268276257022,
silte,holdridge_eth,000_010cm,11581,0.21974719966785075,9.336178199280544,12.55716610704276,0.2923103744090231,0.8316834658682356,
argila,holdridge_eth,000_010cm,11581,-0.8225459190065442,13.155090918529993,17.066851996242498,0.28462379464789267,0.865550488711501,
areia,holdridge_eth,010_020cm,9749,-0.03957097762382265,16.969350321380563,21.484774855706526,0.3669446903039577,0.9002900965566597,
silte,holdridge_eth,010_020cm,9749,0.1860262819997939,9.11338491192517,12.193108754354771,0.3034407542742654,0.8423819499622286,
argila,holdridge_eth,010_020cm,9749,-0.1464553043759713,13.093079263350095,16.740439569309068,0.3431013857796117,0.9325257828307664,
areia,holdridge_eth,020_030cm,6381,-0.3744833586719089,15.723080608465239,19.666541119763927,0.38506076822674995,0.9725444292089224,
silte,holdridge_eth,020_030cm,6381,0.23996048403819548,7.676849010745465,10.490953356487825,0.3453600258791574,0.8937014355154348,
argila,holdridge_eth,020_030cm,6381,0.13452287463371373,13.251093377510145,16.867727793642004,0.29275052674446067,0.9362905855858734,
areia,holdridge_etpm,000_010cm,11581,0.7359016868342465,17.42408095720379,22.116248944311916,0.3306711697360488,0.8747939471329991,
silte,holdridge_etpm,000_010cm,11581,0.16369951519964662,9.28109295505362,12.513867466952684,0.297182360565701,0.8372660996491779,
argila,holdridge_etpm,000_010cm,11581,-0.899601202033893,13.145392367353175,17.0714839239975,0.2842354370818223,0.8708343084380437,
areia,holdridge_etpm,010_020cm,9749,0.05973149994197128,17.031081043720803,21.527714918053583,0.3644116780261585,0.9061941677401695,
silte,holdridge_etpm,010_020cm,9749,0.1470763923134039,9.084512130619167,12.152806753474133,0.308037832404775,0.8623926096414204,
argila,holdridge_etpm,010_020cm,9749,-0.20680789225537485,13.212464903474514,16.858613652872048,0.33379429578181696,0.9260834114256162,
areia,holdridge_etpm,020_030cm,6381,-0.6184252448847046,15.644144137382929,19.613176393352596,0.38839348858974065,0.9644825969957146,
silte,holdridge_etpm,020_030cm,6381,0.34843309492726415,7.682655864416986,10.501517099296862,0.3440409979893311,0.8844422709578214,
argila,holdridge_etpm,020_030cm,6381,0.2699921499574403,13.28774997644079,16.88135183895031,0.2916075760972632,0.924130663395848,
areia,koppen_chelsa,000_010cm,11581,0.9058612804239778,17.394633153248932,22.189937165098932,0.32620352089214266,0.8590658893713057,
silte,koppen_chelsa,000_010cm,11581,0.03898668005395616,9.130414284769262,12.365001537130002,0.3138044455549187,0.8517872944204552,
argila,koppen_chelsa,000_010cm,11581,-0.9448479604779337,13.08085862072484,17.01463381297585,0.28899466499378246,0.869637796102958,
areia,koppen_chelsa,010_020cm,9749,0.3412080337698065,16.9859948836113,21.561437607798634,0.36241884826087134,0.8941568543613825,
silte,koppen_chelsa,010_020cm,9749,-0.005108340992440584,9.085480476252535,12.173837044982704,0.3056408952082187,0.8526037586248099,
argila,koppen_chelsa,010_020cm,9749,-0.33609969277736595,13.239376209479367,16.948636131307854,0.3266604217142338,0.9118779795858309,
areia,koppen_chelsa,020_030cm,6381,-0.6813166579843001,15.638980423270578,19.66252370357912,0.3853119780839329,0.9487583480011734,
silte,koppen_chelsa,020_030cm,6381,0.38511456144161416,7.498124096538385,10.306210779152751,0.3682130525388052,0.9047501199322724,
argila,koppen_chelsa,020_030cm,6381,0.29620209654268537,13.285025212563731,16.86698731306494,0.29281262082249815,0.9223940724498463,
areia,koppen_ipef,000_010cm,11581,0.7614670414222936,17.470983312848375,22.217244469502045,0.3245441302567472,0.8613167046475811,
silte,koppen_ipef,000_010cm,11581,0.25901082863170943,9.294086061235376,12.550558799693157,0.2930549202150057,0.8281975459516733,
argila,koppen_ipef,000_010cm,11581,-1.020477870054003,13.138647360319125,17.11211343289251,0.28082439573843143,0.8543440029627011,
areia,koppen_ipef,010_020cm,9749,0.5139406398618119,17.129622254449707,21.782197574840197,0.34929607289526365,0.8794213485876667,
silte,koppen_ipef,010_020cm,9749,0.04077710711333134,9.12174562673157,12.241032153177313,0.29795452628011154,0.8424169754737798,
argila,koppen_ipef,010_020cm,9749,-0.5547177469751436,13.2341495933792,17.038993027987278,0.3194618421640477,0.9010617429779622,
areia,koppen_ipef,020_030cm,6381,-0.4501213333438122,15.782006775769517,19.69101520955928,0.3835292897177275,0.969462367449464,
